协心戮力 道合志同 同心合胆 身在曹营心在汉 百虑攒心
捐身徇义 取义成仁 恶语伤人 杀人灭口 喊冤叫屈
栖丘饮谷 依山傍水 重山复水 深山穷林 深山密林
云蒸雾集 风和日暄 风和日美 断决如流 累累如珠
千里迢迢 殊方绝域 郁郁沉沉 离离矗矗 龙盘虎拏
双喜临门 岁序更新 荣谐伉俪 一举两得 一年一度
砥志研思 殚谋戮力 极智穷思 研精致思 研精竭虑
杀人灭口 枉勘虚招 恶语伤人 故入人罪 深文周内
一语破的 百发百中 弦无虚发 百中百发 见可而进，知难而退
乐不可极 乐在其中 正声雅音 弹丝品竹 朱弦三叹
反败为胜 转败为胜 厌难折冲 排除万难 料敌制胜
釜中生鱼 万古千秋 雨沐风餐 容膝之安，一肉之味 三天打鱼，两天晒网
侈人观听 所见所闻 公听并观 口耳并重 交相辉映
稳步前进 因事制宜 反复推敲 有约在先 出谋献策
锦瑟华年 锦瑟年华 欢蹦乱跳 乳臭未除 白齿青眉
百不一遇 百年不遇 千载难逢 万世一时 百年难遇
扬长避短 各取所长 自我表现 随才器使 用其所长
搬唇弄舌 七支八搭 舞弄文墨 析律舞文 舞文巧诋
乐以忘忧 乐而忘返 吐气扬眉 适性忘虑 虱多不痒
一齐众楚 急管繁弦 铺天盖地 连三跨五 云合雾集
吸新吐故 沁人肺腑 纳新吐故 吐故纳新 斋心涤虑
销神流志 力殚财竭 力屈计穷 智尽能索 计尽力穷
唯命是从 唯命是听 言听谋决 言听事行 束手听命
黯然伤神 悱恻缠绵 按捺不住 贫困潦倒 心慌撩乱
深文周内 深文傅会 深文附会 负罪引慝 故入人罪
指日而待 指日成功 红日三竿 计日可待 见时知几
浆水不交 一清如水 臣心如水 摆袖却金 水火无交
赏功罚罪 赏劳罚罪 赏高罚下 带罪立功 以誉为赏
枝布叶分 连州跨郡 笔墨之林 凤子龙孙 万流景仰
析疑匡谬 攻过箴阙 过而能改 攻瑕指失 攻瑕索垢
病国殃民 丧师辱国 民困国贫 误国殃民 辱国丧师
奉为楷模 一鞭先著 轨物范世 不足为训 以身作则
继绝存亡 齐家治国 破国亡家 破家亡国 国破家亡
钜学鸿生 利齿能牙 嗑牙料嘴 磕牙料嘴 言之有序
默默无言 沉密寡言 悄然无声 寂然无声 不言不语
擒奸擿伏 扫穴擒渠 窝停主人 拿贼拿赃 拿贼见赃
鬼哭狼嚎 嚎天喊地 狼号鬼哭 呼天号地 呼天唤地
三从四德 德容言功 德言工容 尊贤使能 树俗立化
交颈并头 成群结伙 蜂屯蚁聚 挨肩叠背 挨肩并足
急人之难 急人之困 舍己为人 同心并力 同心合力
鸥水相依 云布雨施 芝兰之室 啮雪餐毡 狼艰狈蹶
殃及池鱼 无须之祸 毋望之祸 毋望之福 无妄之祸
长篇累牍 长篇大套 下笔千言，离题万里 久而久之 历日旷久
罚一劝百 以一警百 以一儆百 杀一警百 碎尸万段
入地无门 羊落虎口 走投没路 不见棺材不下泪 走头无路
载驰载驱 载驱载驰 闯南走北 横驱别骛 鼻端生火
不速之客 事不宜迟 虚位以待 时无再来 上当学乖
紫芝眉宇 呷醋节帅 雪操冰心 言芳行洁 古圣先贤
樵苏失爨 屯粮积草 积草屯粮 食不充肠 鱼釜尘甑
半信半疑 半疑半信 难以置信 谓予不信 将信将疑
显祖扬名 显祖扬宗 游光扬声 显祖荣宗 显姓扬名
仰人眉睫 承颜候色 察颜观色 见貌辨色 观貌察色
触目警心 心中有数 情急智生 以权达变 思患预防
回山倒海 战无不胜 风行草靡 无坚不摧 势倾朝野
旗布星峙 棋布星罗 棋布星陈 星罗云布 成千累万
久历风尘 千辛万苦 万苦千辛 艰难曲折 大败亏轮
击毂摩肩 车马骈阗 色色俱全 车马盈门 流水游龙
穷源溯流 溯流穷源 同源共流 源远流长 逆水行舟
秽言污语 村学究语 轻言肆口 语言无味 詹言曲说
怙过不悛 革心易行 过而能改 行不贰过 遂迷不寤
相时而动 当机立断 以权达变 从长计议 见机而作
乐极则忧 乐不可极 贪心不足 乐极生哀 乐极悲来
神清骨秀 眉目如画 娟好静秀 善眉善眼 鹄峙鸾停
匀脂抹粉 剩馥残膏 膏泽脂香 粉白黛绿 蝶粉蜂黄
方兴未已 方滋未艾 势在必行 总而言之 大势已去
秘而不言 开口见胆 忠不避危 藏形匿影 默而识之
匡谬正俗 过而能改 救偏补弊 革邪反正 还原反本
雕心雁爪 剥皮抽筋 雕心鹰爪 狼猛蜂毒 恶声恶气
倒置干戈 决命争首 斗而铸锥 临难铸兵 铸剑为犁
讷口少言 钝口拙腮 木讷寡言 静言庸违 讽多要寡
整旅厉卒 投石超距 斗志昂扬 练兵秣马 奋武扬威
视之不见，听之不闻 视而不见，听而不闻 淆乱视听 昏昏默默 杳不可闻
兼善天下 损人利己 一举两得 渔人得利 公私兼顾
固执己见 坚执不从 和而不唱 固执成见 终始若一
病病歪歪 撧耳挠腮 搓手顿脚 有嘴没舌 昏昏沉沉
神采飞扬 精神百倍 踔厉奋发 如醉如梦 磨拳擦掌
以杀去杀 以杀止杀 收刀检卦 禁舍开塞 不及之法
神情自若 坦然自若 表里相符 表里一致 安然如故
潜移默运 应变无方 唯所欲为 潜移默转 从容自如
发隐擿伏 破奸发伏 擿奸发伏 擿伏发奸 明枪暗箭
拊心泣血 透骨酸心 呕心抽肠 叩心泣血 肝心若裂
手到拈来 热熬翻饼 排山压卵 掌上观纹 掌上观文
顺水人情 逢机遘会 舍己为人 将机就机 急人之难
相敬如宾 瞻情顾意 敬如上宾 有无相通 相待如宾
逐名趋势 射利沽名 求名夺利 邀名射利 违利赴名
言者不知 智穷才尽 学浅才疏 二把刀 愚昧无知
胡说乱道 拾陈蹈故 陈言肤词 诡言浮说 讹言惑众
急公好施 云行雨施 济弱锄强 不吝珠玉 轻财好施
急不暇择 引以为憾 坐失良机 后悔无及 后悔不及
庸医杀人 负乘斯夺 拥篲救火 负乘致寇 以德追祸
破口大骂 作歹为非 祸从口生 恶语伤人 负诟忍尤
一而光 扫地无遗 扫地无余 摘瓜抱蔓 一扫而空
字顺文从 言简意深 言简义丰 章决句断 言约旨远
嘉言善行 叹观止矣 探观止矣 嘉言善状 丽藻春葩
临危不顾 临危不惧 不避艰险 临危致命 急处从宽
绿鬓朱颜 乳臭未除 桃夭柳媚 翩翩年少 瑶林琼树
极恶不赦 十恶不赦 以杀去杀 以杀止杀 罪加一等
杳无人烟 山陬海噬 天南海北 鸡犬不闻 爽然自失
崭露头脚 才夸八斗 雄才大略 宏才大略 雄材大略
饿虎扑羊 饿虎扑食 来势汹汹 鲸吞虎噬 肆行无忌
独步一时 独步当时 独步当世 天下第一 雄视一世
弃故揽新 遗闻轶事 破烂不堪 捐弃前嫌 抽胎换骨
昏昏沉沉 如醉如梦 昏头搭脑 晕晕沉沉 神魂荡飏
搜肠刮肚 衡虑困心 裁心镂舌 呕心镂骨 刿心刳肺
文丝不动 俯仰随人 纹丝不动 迟眉钝眼 举止失措
瑶草奇花 异木奇花 逞娇呈美 百花争艳 琪花玉树
心焦火燎 心焦如火 心急火燎 心如火焚 火急火燎
讳树数马 鞠躬君子 鞠躬尽瘁 小廉大法 大法小廉
语出月胁 独得之见 惊心眩目 鲜艳夺目 骇目惊心
协力同心 同心协力 同力协契 协力齐心 同心协济
渺无踪影 齐烟九点 无远不届 金昭玉粹 烟炎张天
急张拘诸 搓手顿足 慌慌张张 热锅上的蚂蚁 风雷火炮
首身分离 首下尻高 四肢百骸 首足异处 仰面朝天
倚官挟势 倚官仗势 官轻势微 冰山难靠 挟势弄权
和气生财 心慈面软 闻融敦厚 和蔼可亲 和蔼近人
想望丰采 鼎鼎有名 语长心重 深得人心 拳拳之枕
自欺欺人 损人害己 自愧不如 偷合苟容 偷合取容
知小谋大 力有未逮 鞭长不及 格于成例 消极怠工
唾壶击缺 怒火冲天 吹胡子瞪眼 群情鼎沸 冲冠发怒
勇者不惧 耽惊受怕 畏缩不前 畏葸不前 战战惶惶
茫无边际 一望无垠 茫无涯际 茫无端绪 一棍子打死
久而久之 历日旷久 由来已久 转战千里 时过境迁
雷嗔电怒 怒气冲冲 愤愤不平 大喜若狂 横眉冷眼
金镶玉裹 忆苦思甜 删华就素 肥甘轻暖 游戏人间
大发议论 百般抚慰 以意逆志 即景生情 托物寓感
家传人诵 家传户诵 家见户说 户告人晓 书香人家
丝来线去 生拉硬扯 横拖倒拽 死乞白赖 三环五扣
克爱克威 邀功希宠 感恩怀德 怡性养神 知遇之恩
艰苦奋斗 不避艰险 死里求生 骁勇善战 愤不顾身
生死未卜 查无实据 杳无信息 深奥莫测 驴年马月
无关大局 边尘不惊 不偏不党 混然天成 融洽无间
管中窥豹 窥豹一斑 一斑窥豹 以管窥豹 量小力微
所见略同 坚执不从 各执己见 固执己见 心口相应
珪璋特达 兰心蕙性 含霜履雪 拿云捉月 仙姿玉质
贻误军机 坐失良机 缓兵之计 旷日持久 无名之师
慎小事微 慎小谨微 不遗巨细 慎始敬终 打小算盘
事不关己 无所重轻 无关大局 无羐无碍 事不关己，高高挂起
半吐半露 半吞半吐 一隅之说 混淆视听 含糊其辞
瞠目而视 鱼瞵鹗睨 鸟惊鱼骇 鱼贯而出 鱼水深情
振奋人心 奋发有为 鼓舞人心 慷慨激烈 精神焕发
宵旰图治 安国宁家 论道经邦 以天下为己任 夙夜在公
枕稳衾温 三平二满 暖衣饱食 北窗高卧 肥甘轻暖
殷天蔽日 蔽日遮天 清天白日 风吹日晒 赤身裸体
依法炮制 依法砲制 因袭陈规 以古制今 因循苟且
逐风追电 闯南走北 沸沸汤汤 汲汲皇皇 一日万里
改换门闾 改换家门 鸱张门户 改换门楣 发家致富
凤箫龙管 吹竹弹丝 凤箫鸾管 弄竹弹丝 鸾歌凤吹
心向往之 心乡往之 神醉心往 爱博而情不专 发奋图强
笨嘴笨舌 言颠语倒 课语讹言 含糊其辞 半吐半露
如此而已 聊复尔耳 理之当然 亦复如是 成人之美
惹事生非 招是搬非 据理力争 违害就利 匡乱反正
宁死不辱 士可杀不可辱 忍尤含垢 忍辱含垢 忍辱含羞
采薪之患 采薪之疾 犬马之疾 采薪之忧 卧床不起
腹饱万言 无一不知 博而不精 精神满腹 不贪为宝
先公后私 事无二成 公而忘私 公尔忘私 因公假私
话长说短 淫言诐行 说短论长 说长道短 数黑论黄
整整截截 亦庄亦谐 圭角岸然 艳如桃李，冷若冰霜 汪洋自恣
樽酒论文 言之有序 文似其人 借酒浇愁 酗酒滋事
囊里盛锥 量材录用 谋事在人 才夸八斗 用其所长
发财致富 商彝夏鼎 人文荟萃 千汇万状 多才多艺
鼠屎污羹 鼠屎汙羹 败鳞残甲 摧兰折玉 大煞风景
惟妙惟肖 惟肖惟妙 照猫画虎 照葫芦画瓢 游心骇耳
国计民生 民生国计 民富国强 国富民安 国富民丰
混混泇泇 急流勇进 滔滔滚滚 渊涌风厉 波涛汹涌
碰钉子 辞不获命 无言可对 不容置喙 闭门羹
兵不厌权 击其不意 造谣生事 造谣惑众 造言生事
正言直谏 洁己奉公 犯颜苦谏 直言正论 正色敢言
酒肉朋友 狐朋狗友 狐朋狗党 忘年之交 乌集之交
爱日惜力 事不宜迟 敬时爱日 孜孜无怠 孜孜不懈
求贤下士 求贤若渴 爱才若渴 爱才如渴 奋发图强
长念却虑 计深虑远 心细如发 弄巧反拙 小黠大痴
深闭固距 闭关绝市 以杀去杀 以杀止杀 闭门自守
不茶不饭 忘啜废枕 不知寝食 饥不择食 食不下咽
惊耳骇目 惊心骇瞩 惊心骇神 骇目惊心 骇人视听
放刁把滥 胆大妄为 恶叉白赖 狂三诈四 坑蒙拐骗
质疑辨惑 质疑问难 盘根问底 求同存异 当头对面
好好先生 岂弟君子 蔼然仁者 安身为乐 去危就安
击其不意 以攻为守 先下手为强 突然袭击 出其不意，攻其不备
以权达变 时易世变 时移世易 时移世变 顺时而动
观者如市 观者云集 观者如云 十口相传 观者成堵
游目骋观 触目皆是 无所不在 四方八面 东张西望
送往迎来 迎来送往 送去迎来 送往劳来 迎新送故
神飞气扬 奋发踔厉 激昂慷慨 丰神异彩 光彩耀目
眼尖手快 从容自如 拈轻掇重 软硬兼施 势在必行
目酣神醉 悦目赏心 名山胜川 寓情于景 爽心悦目
蛮不讲理 横蛮无理 蛮横无理 消极怠工 百般刁难
钜学鸿生 戴眉含齿 浓眉大眼 有识之士 戴发含牙
学无止境 十年读书 钻坚研微 成人不自在，自在不成人 孜孜不辍
神情自若 恬言柔舌 坦然自若 终始不渝 柔情蜜意
屈打成招 喊冤叫屈 故入人罪 理冤摘伏 出入人罪
牵鬼上剑 艰难曲折 生民涂炭 啮雪餐毡 钻山塞海
春风雨露 龙德在田 雷奔云谲 穆如清风 精耕细作
永不磨灭 不破不立 罪不可逭 不解之仇 不可告人
疾雨暴风 魆风骤雨 怪雨盲风 骤风急雨 疾风骤雨
百折不摧 百折不屈 斗霜傲雪 吾膝如铁 转日回天
势不两存 敌不可纵 敌不可假 四面受敌 百般刁难
俯首听命 降心俯首 洗耳恭听 从风而服 一呼再喏
标新立异 标新领异 独到之处 楚楚不凡 旷世逸才
门户之争 见智见仁 见仁见智 招是搬非 人言啧啧
少安无躁 事不宜迟 刻不容松 顿足不前 停滞不前
冥思苦索 霞思云想 全力以赴 全心全意 咬定牙根
言高语低 笨嘴笨舌 不知高下 不知高低 言行相悖
贵贱无二 权均力敌 看人行事 力均势敌 势钧力敌
营私作弊 贪脏枉法 做鬼做神 造谣生非 谋为不轨
浓妆艳抹 披罗戴翠 衣香鬓影 穿红着绿 滴粉搓酥
形容枯槁 身心交瘁 老天拔地 鸡皮鹤发 形容憔悴
乖唇蜜舌 乖嘴蜜舌 噀玉喷珠 娓娓动听 巧言如簧
不管一二 无所忌惮 横无忌惮 奋不顾身 胆大妄为
正身率下 以身作则 整躬率物 赏一劝众 赏一劝百
整旧如新 断缣寸纸 残篇断简 收残缀轶 继绝存亡
做张做势 妆模作样 拿腔作调 拿班做势 开弓不放箭
万语千言 抉奥阐幽 通幽洞灵 话里藏阄 巧言利口
怀山襄陵 沸沸汤汤 山崩海啸 风起水涌 骏波虎浪
人人自危 众所周知 触目警心 盈满之咎 害人不浅
枕稳衾温 安心乐业 不紧不慢 门不夜关 河水不洗船
怜贫恤老 怜贫惜老 惜老怜贫 振穷恤寡 振穷恤贫
山陬海噬 杳无人烟 七满八平 孤悬浮寄 万籁无声
拿云捉月 圭璋特达 成风尽垩 贯斗双龙 食辨劳薪
推本溯源 原始反终 枝源派本 讨流溯源 原始要终
朝升暮合 地瘠民贫 贫困潦倒 贫病交加 贫病交迫
三翻四复 九变十化 十变五化 反覆无常 变炫无穷
博采众议 公听并观 当头对面 各抒所见 千锤打锣，一锤定音
疑团莫释 质疑辨惑 质疑问难 深奥莫测 以疑决疑
千金市骨 金台市骏 衔玉贾石 买马招军 买马招兵
连鳌跨鲸 超凡出世 卓绝千古 遗世越俗 离世异俗
切近的当 营营逐逐 天高地下 应节合拍 正正经经
至亲骨肉 至亲好友 养家活口 沾亲带友 改换家门
三街两市 三街六市 笔墨之林 五洲四海 连州跨郡
逐名趋势 射利沽名 争名夺利 名利双收 欺世盗名
异香扑鼻 热情洋溢 一室生春 酸甜苦辣 言外之味
不偏不党 人不犯我，我不犯人 予取予携 予取予夺 莫余毒也
桑间之约 雨约云期 莺期燕约 燕约莺期 柳影花阴
极往知来 识时达变 权时制宜 长虑却顾 长虑后顾
访亲问友 驿使梅花 驿路梅花 投其所好 久别重逢
如花似玉 艳如桃李 金兰之交 金昭玉粹 玉润冰清
知遇之恩 临别赠言 诱掖奖劝 颂德歌功 戴高帽子
简明扼要 言而无文，行之不远 言之不文，行之不远 言之有序 字顺文从
半文不白 半文半白 一言半句 一言半辞 月露之体
潜蛟困凤 圣神文武 鸿渐之仪 超世之才 才夸八斗
山高水险 山长水远 钻山塞海 风霜雨雪 惊风怒涛
弱水之隔 海角天涯 地角天涯 天涯地角 天涯海角
心满意足 心满原足 心满愿足 满脸春风 屐齿之折
山长水远 路远迢迢 山遥路远 万里迢迢 山长水阔
舍己为公 卖公营私 公私兼顾 私心杂念 损公肥私
科班出身 成名成家 又红又专 作育人材 用其所长
还乡昼锦 锦衣行昼 钟鼎之家 黼衣方领 膏腴子弟
搓手顿脚 风雷火炮 油浇火燎 搓手顿足 迫不可待
远亲近邻 十亲九眷 旧雨新知 儿女亲家 忘年之交
特立独行 奇才异能 诡谲怪诞 独出新裁 标新领异
折胶堕指 冰雪严寒 岁暮天寒 雨僝云僽 雪北香南
更令明号 德容言功 德言工容 奉公如法 洁己奉公
众口一辞 众口如一 云集响应 心口相应 所见略同
以手加额 额首称庆 额手相庆 额手称颂 额手称庆
邈若河汉 妙想天开 楚楚不凡 奇想天开 神眉鬼道
深切著明 饶有风趣 逢机遘会 荡魂摄魄 探观止矣
好语如珠 好语似珠 雄文大手 诗家三昧 重葩累藻
焚香扫地 鸥波萍迹 枕山栖谷 鸡犬桑麻 高翔远引
戴月披星 披星戴月 披星带月 一表堂堂 明明赫赫
矫情饰诈 造谣生非 造谣惑众 讹言惑众 造言生事
因循苟且 玩故习常 拾陈蹈故 承嬗离合 应变无方
梗迹萍踪 载沉载浮 鱼贯而出 漂零蓬断 鱼龙百变
消极怠工 半半拉拉 轻虑浅谋 杂乱无序 玩忽职守
国仇家恨 国难当头 误国殃民 病国殃民 深仇大恨
金声掷地 击玉敲金 铿金霏玉 铿金戛玉 书声琅琅
风言影语 枉直随形 适居其反 言与心违 一隅之说
恋新忘旧 分情破爱 违心之论 弃过图新 英雄气短
故入人罪 拾陈蹈故 推东主西 无事生非 指李推张
多才多艺 才夸八斗 朱弦三叹 逸群之才 宏才大略
顿学累功 志美行厉 不劳而成 孜孜不辍 将勤补拙
浮而不实 事不师古 粗心浮气 心浮气盛 偷狗戏鸡
运掉自如 运用自如 言简义丰 言语妙天下 语简意赅
暗弱无断 混混噩噩 麻痺不仁 根孤伎薄 智穷才尽
俯仰之间 低眉垂眼 束肩敛息 低眉顺眼 胁肩低眉
触目警心 甄心动惧 慎小事微 敬终慎始 熟思审处
自欺欺人 欺人自欺 塞耳偷铃 撒诈捣虚 做鬼做神
凤协鸾和 瑟调琴弄 瑟弄琴调 琴瑟之好 宜室宜家
不废江河 都中纸贵 圣神文武 流脍人口 讽德诵功
陵劲淬砺 动如脱兔 刀头燕尾 劚玉如泥 尖言冷语
生拖死拽 生拉硬扯 表面文章 横冲直闯 死皮赖脸
缩衣节口 缩衣啬食 恶衣菲食 粗袍粝食 粗衣恶食
还我河山 自坏长城 自我牺牲 洒心更始 函矢相攻
方寸已乱 改口沓舌 转忧为喜 转愁为喜 违心之论
闳宇崇楼 朱阁青楼 朱楼碧瓦 丰屋生灾 高堂大厦
沉谋研虑 沉谋重虑 运筹借箸 策无遗算 远虑深谋
和蔼可亲 和蔼近人 软谈丽语 款语温言 矜平躁释
胆大心粗 敬终慎始 首尾两端 长念却虑 刚戾自用
蛮横无理 横蛮无理 蛮不讲理 冷酷无情 不近道理
表里相依 音相应 骨肉至亲 瞻情顾意 貌合行离
见貌辨色 以貌取人 人不可貌相 鉴毛辨色 相时而动
不废江河 承先启后 万流景仰 古为今用 余韵流风
逐近弃远 舍近务远 舍近即远 舍近求远 逐末弃本
无故呻吟 造作矫揉 楚楚作态 叹老嗟卑 犬马之疾
有识之士 宏才大略 雄材大略 才识过人 才高识远
仙姿玉色 娉婷袅娜 袅袅亭亭 玉软花柔 杏脸桃腮
任贤使能 蔼然仁者 道高德重 智勇兼全 使贤任能
就正有道 推贤进善 识才尊贤 敬贤爱士 养贤纳士
心满意得 满脸春色 喜气洋洋 喜行于色 喜上眉梢
功到自然成 名利双收 盛必虑衰 有所作为 无毒不丈夫
闭门羹 杜门不出 惹事生非 家无二主 百般刁难
社会贤达 洪乔捎书 无为自化 榜上无名 闲杂人等
斗霜傲雪 含垢忍辱 低首下气 吞声忍泪 吾膝如铁
赏一劝百 赏一劝众 戴高帽子 自我表现 登高一呼
话长说短 说长道短 说短论长 见仁见智 见智见仁
乐道好古 朝章国故 以古制今 据义履方 正理平治
顶名冒姓 曲意迎合 曲意承迎 曲意奉迎 欲得而甘心
用天因地 顺时而动 相时而动 执两用中 遭时定制
超然不群 超凡出世 遗形藏志 超然自逸 恬淡无为
戎马生涯 骁勇善战 身经百战 以战去战 有事之秋
无如之何 无可如何 无如之奈 计无所出 无所施其技
按行自抑 克己慎行 改过自新 改行为善 自强不息
确乎不拔 靴刀誓死 艰苦奋斗 毅然决然 计出万死
翻复无常 一成不易 坚定不移 回天运斗 回天倒日
青紫被体 掇青拾紫 拖青纡紫 纡朱曳紫 怀银纡紫
广庭大众 大廷广众 大庭广众 稠人广座 众人广坐
燕石妄珍 如弃敝屣 虚舟飘瓦 朴实无华 不足介意
横征暴赋 横征苛敛 横科暴敛 暴敛横征 浮收勒折
开来继往 后继有人 余业遗烈 承先启后 良弓无改
不可端倪 以疑决疑 草蛇灰线 由表及里 东零西碎
风清月朗 朗月清风 浮光跃金 星月交辉 月朗风清
春风和气 风和日暖 日暖风和 春和景明 风和日暄
另开生面 独得之见 别出心裁 匠心独具 花样翻新
江洋大盗 揭箧担囊 窝停主人 犬吠之盗 文武差事
碰钉子 休兵罢战 一无所求 啜食吐哺 放马华阳
不顾大局 无关大局 不识大体 不足为虑 不足为意
正色敢言 正色厉声 巧言利口 彰明较着 词严义密
乱七八糟 马仰人翻 污七八糟 乌七八糟 东横西倒
义结金兰 相差无几 忘年之交 善与人交 和睦相处
飘风苦雨 生民涂炭 椎天抢地 马毛猬磔 凄入肝脾
大权在握 重望高名 权重望崇 时望所归 逐名趋势
不计其数 二者不可得兼 返来复去 人满为患 杂乱无序
神机鬼械 两脚野狐 插圈弄套 刁滑奸诈 一蛇两头
任达不拘 目无王法 脱天漏网 肆行无忌 横行不法
五心六意 失张失志 失张失致 七拱八翘 七上八落
独得之见 沉思熟虑 苦思冥想 匠心独具 匠心独运
潮鸣电挚 鼻端生火 潮鸣电掣 追云逐电 策马飞舆
谆谆善诱 言提其耳 谆谆诰诫 倾耳而听 耳听心受
不费吹灰之力 简要不烦 掌上观文 掌上观纹 从容自如
知地知天 肤寸而合 量时度力 通时达务 审时度势
杜口无言 沉密寡言 默默无言 邈如旷世 沉吟不语
一分耕耘，一分收获 一举两得 增收节支 将勤补拙 临别赠言
风语不透 以胶投漆 铁板一块 四分五落 若有若无
贪求无已 贪婪无厌 贪惏无餍 贪猥无厌 贪求无厌
好心好意 深仁厚泽 情深一往 情深义重 怜贫恤老
无远弗届 畅通无阻 畅行无阻 所向克捷 无往不克
昏迷不醒 神情恍惚 昏头转向 无颜落色 混混噩噩
倒持戈矛 铸剑为犁 倒置干戈 骁勇善战 勇往直前
合盘托出 以偏概全 整本大套 帡天极地 打成一片
坏人心术 心灰意冷 销神流志 锐挫望绝 低头丧气
尊贤使能 果行育德 艰苦奋斗 讽德诵功 砥砺风节
忑忑忐忐 惊心骇神 怦然心动 破胆寒心 耽惊受怕
拆白道字 调墨弄笔 游戏翰墨 游戏笔墨 识文谈字
遁天之刑 遁天妄行 绳之以法 龚行天罚 以毁为罚
量入为出 量入计出 增收节支 供过于求 所费不赀
涎皮赖脸 拿腔做势 乜斜缠帐 讨是寻非 放泼撒豪
荣谐伉俪 三星在户 五子登科 百年之约 称心满意
哀思如潮 百虑攒心 心血来潮 云悲海思 云愁海思
驽箭离弦 一日万里 掉舌鼓唇 日不移晷 利齿能牙
一笔勾断 一笔勾消 潜消默化 黯晦消沉 删繁就简
触目崩心 顿口无言 苦不可言 唉声叹气 哀声叹气
犀牛望月 只见树木，不见森林 目不给赏 入井望天 布天盖地
损己利人 欺世盗名 损人利己 害人不浅 恶语伤人
孑然一身 撑天拄地 重岩迭障 重岩叠障 倚天拔地
公听并观 虚己受人 厌闻饫听 博采众议 言听事行
危机四伏 微机四伏 险象环生 人人自危 高而不危
满腔热枕 热情洋溢 触物兴怀 睹物兴情 情深意重
行不由径 曲径通幽 枉曲直凑 鼪鼬之迳 道而不径
事往日迁 日引月长 由来已久 事过景迁 时移世异
欺三瞒四 矫情饰诈 欺上瞒下 欺上罔下 撒诈捣虚
言是人非 防微杜衅 秉文兼武 名不虚得 衰当益壮
明知故问 好问决疑 披毛求疵 挑毛拣刺 毫不讳言
推崇备至 鼎鼎有名 感恩戴德 万世师表 敬老慈穉
同德同心 同心合德 同心协德 同心一德 一心同体
久历风尘 万苦千辛 千辛万苦 艰难曲折 大败亏轮
涤秽布新 色色俱全 革旧图新 整旧如新 铸新淘旧
多才多艺 博学多才 又红又专 通文达艺 融释贯通
与世无争 不正之风 浇淳散朴 应变无方 囿于成见
云悲海思 云愁海思 尤云殢雪 尤花殢雪 泣下如雨
珠璧联辉 珠璧交辉 璧合珠联 重葩累藻 千汇万状
生死之交 至亲好友 奔走之友 同心并力 同心合力
福如东海 福寿齐天 枕山负海 家传户颂 洪福齐天
膏腴之地 天府之国 山珍海味 肥甘轻暖 家道从容
烟花风月 云梦闲情 啮臂之好 桑中之喜 暮雨朝云
倾肝沥胆 烈火干柴 澄神离形 韩寿偷香 忠心赤胆
磊落不羁 磊瑰不羁 暖衣饱食 欹嵚历落 青鞋布袜
清浑皁白 庐山真面目 起根发由 饮水知源 由表及里
今昔之感 忆苦思甜 酌古准今 知往鉴今 观往知来
多情善感 三翻四复 床上施床 头上安头 情见乎言
不避艰险 临危授命 临危不顾 临危致命 临危不惧
独到之处 别具只眼 标新领异 标新立异 楚楚不凡
雄材大略 知遇之恩 较德焯勤 丰功伟绩 丰功厚利
作歹为非 坏法乱纪 为非作歹 丢人现眼 出乖弄丑
闯南走北 十字路头 纷纷拥拥 挨山塞海 赭衣塞路
零丁孤苦 振穷恤寡 鱼釜尘甑 贫贱之交 挨冻受饿
网开三面 网开一面 避瓜防李 弃易求难 蒙混过关
如饥如渴 汲汲忙忙 寤寐求之 烧眉之急 逼不得已
忐忑不安 心慌撩乱 心神不定 忑忑忐忐 忐忐忑忑
言高语低 玩忽职守 毛手毛脚 草率将事 瞎子摸鱼
食生不化 步履维艰 消极怠工 无所施其伎 言高语低
圣神文武 一人有庆 流脍人口 讽德诵功 飞龙在天
番来覆去 循环无端 三翻四复 千回百转 营营逐逐
埋头苦干 神完气足 孜孜无怠 孜孜不懈 孜孜不怠
守正不回 恪守不渝 中立不倚 坚贞不渝 无偏无陂
折冲樽俎 来好息师 以战去战 以计代战 以守为攻
多才多艺 雄才大略 色色俱全 宏才大略 才夸八斗
拽巷逻街 拽巷啰街 拽巷攞街 巷议街谈 大吆小喝
敝綈恶粟 敝绨恶粟 弊衣箪食 柴米油盐 弊衣疏食
无计奈何 寂天寞地 孤寡鳏独 徒有其名 孤独鳏寡
救难解危 振穷恤寡 赈贫贷乏 分贫振穷 救困扶危
相生相成 相因相生 相克相济 教学相长 通同一气
内查外调 明查暗访 公听并观 露马脚 不露神色
地旷人稀 地广人稀 不習水土 无人之境 岐出岐入
才夸八斗 宏才大略 逞强称能 雄材大略 雄才大略
劳民动众 一日万机 大功毕成 大政方针 大工告成
千愁万绪 百虑攒心 焦心热中 云愁海思 云悲海思
悔过自责 计过自讼 省身克己 自贻伊咎 自新之路
寓情于景 惟妙惟肖 烘托渲染 托物陈喻 旁见侧出
敬终慎始 沉静寡言 渊图远算 沉重寡言 沉厚寡言
靠天吃饭 优游岁月 安土乐业 优游卒岁 天生天化
折冲樽俎 俎樽折冲 尊俎折冲 以计代战 以战去战
寂然无声 万赖俱寂 万籁无声 万赖无声 悄然无声
古为今用 变俗易教 树俗立化 承先启后 遗风旧俗
保国安民 护国佑民 保境息民 于家为国 济世安民
招是搬非 惹事生非 门户之争 公是公非 惹是招非
