一心同归 行合趋同 协心戮力 心口相应 齐名并价
败国丧家 败国亡家 病国殃民 丧师辱国 民困国贫
山清水秀 目酣神醉 爽心悦目 黄金世界 风光旖旎
东南之宝 东南之秀 东南之美 才学兼优 逸群之才
毛骨竦然 毛骨耸然 心惊胆裂 魂惊魄落 鬼哭神惊
溢言虚美 高谈大论 淫辞邪说 半半拉拉 夸夸其谈
屈谷巨瓠 寂天寞地 步雪履穿 偷狗戏鸡 孤寡鳏独
不足为虑 不足为意 急处从宽 来世不可待 多管闲事
言气卑弱 侃侃而言 闻融敦厚 温文儒雅 正言不讳
追远慎终 三复白圭 低心下意 心小志大 兢兢乾乾
玉楼赴召 地下修文 悔之晚矣 智穷才尽 一去不复返
朽戈钝甲 淡饭黄齑 卵石不敌 身无分文 错落不齐
急处从宽 不落俗套 恶不去善 无偏无陂 无际可寻
月地云阶 柱天踏地 通天达地 撑天拄地 顶天踵地
自身难保 力有未逮 一手托天 未敢苟同 变化不测
见机而作 立时三刻 飞书走檄 如应斯响 其应若响
窗间过马 骐骥过隙 驹窗电逝 驷之过隙 流光易逝
神流气鬯 神完气足 玉骨冰肌 雍容大度 丰神异彩
目瞪口呆 舌桥不下 目瞪口结 目瞪舌强 目怔口呆
千秋万古 万岁千秋 千秋万岁 万载千秋 万代千秋
不费之惠 三清四白 平白无辜 简切了当 豁然确斯
连战皆捷 捷报频传 日就月将 阐扬光大 胜读十年书
超凡出世 斋心涤虑 徙善远罪 超然自逸 偷闲躲静
自媒自衒 衒玉自售 才夸八斗 鸿渐之仪 自我表现
竭尽心力 计穷力竭 如芒在背 锐挫望绝 入地无门
家殷人足 家给人足 家道从容 家给民足 人给家足
耻言人过 攻过箴阙 无兄盗嫂 杀人灭口 逋慢之罪
栖丘饮谷 眠云卧石 游山玩水 依山傍水 乐山爱水
春风雨露 灿然一新 珠圆玉润 玉润珠圆 璀璨夺目
千里迢迢 山遥路远 路远迢迢 天涯地角 天涯海角
双喜临门 一举两得 福寿双全 岁序更新 人逢喜事精神爽
极智穷思 研精竭虑 研精致思 苦思冥想 殚谋戮力
杀人灭口 坏法乱纪 恶语伤人 败法乱纪 违法乱纪
百发百中 料敌制胜 弯弓饮羽 百中百发 一语破的
乐不可极 乐而不厌 恶不去善 不落俗套 连绵不绝
排除万难 反败为胜 乘利席胜 厌难折冲 忍苦耐劳
釜中生鱼 析骸以爨 万古千秋 无米之炊 饥饱劳役
侈人观听 所见所闻 飞眼传情 耳听心受 公听并观
成算在心 言行相符 公私兼顾 洞察一切 持权合变
锦瑟年华 锦瑟华年 白齿青眉 欢蹦乱跳 绮纨之岁
千载一逢 千载难逢 千载难遇 千载一遇 百不一遇
各取所长 扬长避短 有识之士 随才器使 用其所长
析律舞文 混淆是非 舞文巧诋 搬唇弄舌 讹言惑众
乐以忘忧 乐不思蜀 适性忘虑 破愁为笑 吐气扬眉
一日千丈 铺天盖地 火然泉达 悬崖转石 雾兴云涌
吸新吐故 沁人肺腑 纳新吐故 吐故纳新 涤故更新
力殚财竭 智穷才尽 苦不可言 深入膏肓 孤立无援
唯命是听 唯命是从 恪守不渝 奉公如法 坚守不渝
悱恻缠绵 心灰意冷 触目崩心 黯然伤神 窝火憋气
深文傅会 深文周内 故入人罪 深文曲折 以杀止杀
前程万里 指日而待 红日三竿 月晕础润 秉烛待旦
浆水不交 臣心如水 摆袖却金 脂膏不润 饮马投钱
赏功罚罪 威刑肃物 果刑信赏 正色直绳 隆刑峻法
连州跨郡 四海承风 威震天下 无所不在 兼收并采
攻瑕指失 匡谬正俗 析疑匡谬 救偏补弊 攻瑕索垢
丧师辱国 病国殃民 辱国丧师 国仇家恨 误国殃民
一鞭先著 决命争首 鳌头独占 以快先睹 急先锋
继绝存亡 兴微继绝 败国亡家 败国丧家 家亡国破
言之有序 利齿能牙 出言有章 曲尽奇妙 谈论风生
默默无言 不言不语 悄然无声 寂若无人 闭口不言
擒奸擿伏 扫穴擒渠 拿贼拿赃 拿贼见赃 讨恶翦暴
嚎天喊地 呼天号地 嚎天动地 吁天呼地 触地号天
德容言功 德言工容 三从四德 德言容功 正己守道
挨肩迭背 挨肩叠背 挨肩并足 人满为患 屯街塞巷
赏一劝百 赏一劝众 急人之困 急人之难 乐善不倦
芝兰之室 黑风孽海 渊渟泽汇 成团打块 鸥水相依
殃及池鱼 无须之祸 榆次之辱 凭白无故 无妄之祸
长篇累牍 久而久之 历日旷久 经久不息 深谋远略
以一警百 罚一劝百 正色直绳 奉公正己 碎尸万段
羊落虎口 走投没路 入地无门 上天无路，入地无门 进退路穷
载驰载驱 载驱载驰 鼻端生火 策马飞舆 驱霆策电
不速之客 来者不善，善者不来 事不宜迟 仓卒主人 见之不取，思之千里
紫芝眉宇 呷醋节帅 绳墨之言 仁言利溥 含霜履雪
有心无力 贫无立锥 未竟之志 流落失所 无所施其技
有利有弊 将信将疑 形迹可疑 谓予不信 事出有因
显祖扬宗 显祖扬名 游光扬声 孝子慈孙 敦世厉俗
多管闲事 明人不做暗事 舍生忘死 来世不可待 不露形色
始终不懈 敕始毖终 终始不渝 永矢弗谖 万世流芳
回山倒海 战无不胜 风行草靡 靡坚不摧 无坚不摧
旗布星峙 星罗云布 棋布星罗 棋布星陈 千条万缕
久历风尘 饱经忧患 久而久之 饱经世变 千辛万苦
击毂摩肩 丰富多彩 马咽车阗 成千上万 车载船装
穷源溯流 溯流穷源 溯流追源 溯水行舟 溯流徂源
村学究语 秽言污语 瓮声瓮气 破玩意儿 淫言媟语
和而不唱 遂迷不寤 好高鹜远 无妄之福 多言多语
以权达变 敬时爱日 相时而动 可乘之机 相机而动
乐极则忧 乐极生哀 乐极悲来 乐极哀来 乐极则悲
眉目如画 娟好静秀 鹄峙鸾停 善眉善眼 神清骨秀
匀脂抹粉 剩馥残膏 粉白黛绿 膏泽脂香 调脂弄粉
有根有苗 井井有序 稳步前进 井井有法 益国利民
秘而不言 匿迹隐形 藏形匿影 秘而不宣 杜隙防微
匡谬正俗 革邪反正 匡救弥缝 革心易行 救偏补弊
雕心雁爪 狼猛蜂毒 雕心鹰爪 豹头环眼 笑面虎
未形之患 见死不救 一哄而起 绵力薄材 量才器使
讷口少言 木讷寡言 朴讷诚笃 沉密寡言 拙口笨腮
整旅厉卒 奋武扬威 养威蓄锐 投石超距 揆文奋武
视之不见，听之不闻 杳不可闻 视而不见，听而不闻 昏昏默默 了然无闻
人尽其才 户告人晓 公私兼顾 分工合作 无施不效
坚执不从 和而不唱 固执己见 孤行己见 孤行己意
有嘴没舌 哑口无声 灰心槁形 哑子做梦 诘曲聱牙
神采飞扬 精神百倍 踔厉奋发 气宇轩昂 器宇轩昂
以杀止杀 以杀去杀 不露形色 不容置喙 闭关绝市
安然如故 终始不渝 言笑自若 言笑自如 坦然自若
潜移默运 混然天成 无庸置辩 习惯成自然 可想而知
发隐擿伏 擿奸发伏 擿伏发奸 破奸发伏 明枪暗箭
回肠寸断 神愁鬼哭 九曲回肠 痛入心脾 无肠可断
可想而知 干脆利落 例直禁简 掌上观纹 掌上观文
弃瑕忘过 公而忘私 不避艰险 不劳而成 跅弛不羁
和睦相处 惺惺相惜 言和意顺 义气相投 分甘同苦
逐名趋势 射利沽名 求名夺利 功名利禄 邀名射利
二把刀 寒腹短识 愚昧无知 寡见鲜闻 短见薄识
陈规陋习 陈词滥调 陈辞滥调 老朽无能 不经之谈
云行雨施 牡丹虽好，终须绿叶扶持 八方支持 八方支援 毁家纾难
引以为憾 急不暇择 轻虑浅谋 劳而无功 忙中有失
庸医杀人 无知妄作 胆大妄为 消极怠工 积讹成蠹
狗屁不通 人言啧啧 耻言人过 造言生事 秕言谬说
一而光 扫地无余 涤地无类 一扫而空 摘瓜抱蔓
字顺文从 语简意赅 词正理直 一清二楚 章决句断
满腔热枕 言和意顺 乐善不倦 神怡心旷 点头咂嘴
不偏不党 世上无难事 不避艰险 无所畏惮 不爽毫发
韶颜稚齿 绿鬓朱颜 碧鬟红袖 翩翩年少 齿少气锐
极恶不赦 百辞莫辩 法无可贷 十恶不赦 不解之仇
山陬海噬 穷乡僻壤 穷山僻壤 偏乡僻壤 鸡犬不闻
运用自如 洞察一切 洞察其奸 一清二楚 热情洋溢
虎视耽耽 饿虎扑羊 饿虎扑食 饿虎擒羊 鸱视虎顾
天下第一 独步一时 独步当时 百无一堪 超俗绝世
并赃拿贼 丧身失节 殒身碎首 粉骨糜躯 山崩地陷
昏昏沉沉 如醉如梦 倒三颠四 昏昏噩噩 昏头搭脑
涸思干虑 搜肠刮肚 衡虑困心 裁心镂舌 深思苦索
进俯退俯 昏迷不醒 寂然不动 出没不常 顿足不前
瑶草奇花 百花争艳 异木奇花 逞娇呈美 丰富多彩
心焦火燎 心急火燎 心急如火 心急如焚 心如火焚
低心下意 讳树数马 小廉曲谨 小廉大法 大法小廉
语出月胁 骇目惊心 惊心眩目 超世之才 逸群之才
戮力同心 一心一力 齐心一力 齐心同力 齐心併力
一箭之地 一箭之遥 阶前万里 盈盈一水 相去几何
急张拘诸 搓手顿足 慌慌张张 搓手顿脚 热锅上的蚂蚁
事出有因 身不由主 贵贱无常 没头没脑 有利有弊
晦盲否塞 难以为继 难乎为继 时运不济 自身难保
温润而泽 软谈丽语 好声好气 和气生财 心慈面软
令人起敬 大开方便之门 云集响应 深得人心 满腔热枕
自欺欺人 欺人自欺 损人害己 欺上瞒下 欺上罔下
无计奈何 一手托天 束手就困 没计奈何 力有未逮
唾壶击缺 直眉怒目 瞋目扼腕 吹胡子瞪眼 怒火冲天
心惊胆寒 心惊胆落 心惊胆颤 魄散魂飞 胆战心摇
渺无人烟 终成泡影 茫无端绪 水穷山尽 零丁孤苦
积日累久 天荒地老 地老天荒 多历年稔 成年古代
雷嗔电怒 冲冠怒发 冲冠发怒 怒气冲冲 怫然作色
金镶玉裹 肥甘轻暖 地上天官 三平二满 家道从容
即景生情 感今怀昔 感今思昔 感今惟昔 触景生情
家见户说 户告人晓 家至人说 人尽其才 家传人诵
丝来线去 生拉硬扯 黏吝缴绕 死乞白赖 牵丝攀藤
众口交赞 乐成人美 点头咂嘴 合情合理 悦目赏心
确乎不拔 艰苦奋斗 义不反顾 恪守不渝 孜孜无怠
查无实据 不分伯仲 言之不预 胡猜乱想 不足为凭
无忧无虑 无所畏忌 无羐无碍 不偏不党 无所忌讳
利出一孔 孤立无助 孤立无援 一心一意 头一无二
各执己见 终始不渝 始终不懈 信守不渝 誓死不渝
珪璋特达 兰心蕙性 含霜履雪 鸿轩凤翥 入室升堂
贻误军机 屈节辱命 败法乱纪 残民害物 欺君误国
慎小事微 人人自危 昼警夕惕 进退维亟 如履如临
无关大局 事不关己 无所重轻 不顾大局 兴致索然
半吞半吐 半吐半露 若有若无 涩于言论 言十妄九
瞠目而视 鱼瞵鹗睨 虎视耽耽 鱼龙百变 顾盼神飞
活蹦乱跳 欢迸乱跳 眉欢眼笑 神怿气愉 欢忻鼓舞
宵旰图治 大权在握 劳民动众 汲汲忙忙 国难当头
三平二满 枕稳衾温 暖衣饱食 安心乐业 肥甘轻暖
殷天蔽日 前功尽废 了不可见 一反常态 天工人代
依法炮制 依法砲制 因袭陈规 重操旧业 重温旧业
驽箭离弦 一日万里 蹑影追风 追风蹑景 狼餐虎咽
改换门闾 改换门楣 改换家门 门庭赫奕 倚门倚闾
凤箫龙管 凤箫鸾管 鸾歌凤吹 弄竹弹丝 凤管鸾笙
心向往之 心乡往之 神醉心往 远见卓识 满腔热枕
顿口无言 唠唠叨叨 神情恍惚 言高语低 言颠语倒
习惯成自然 如此而已 理之当然 理所当然 合情合理
避李嫌瓜 违害就利 避瓜防李 避人耳目 攻疾防患
宁死不辱 宁死不屈 暗室不欺 誓死不屈 奉公不阿
采薪之患 采薪之疾 自身难保 救过不赡 此风不可长
无一不知 无可争辩 入室升堂 顺水顺风 不相上下
敌不可纵 来世不可待 国无二君 贵贱无常 情不可却
涤瑕蹈隙 恶言詈辞 血口喷人 论长道短 论长说短
整整截截 亦庄亦谐 豹头环眼 汪洋自恣 圭角岸然
樽酒论文 借酒浇愁 酗酒滋事 灌夫骂坐 醇酒美人
自媒自衒 鸿渐之仪 才夸八斗 评功摆好 有所作为
博学多才 千汇万状 商彝夏鼎 多才多艺 人文荟萃
摧兰折玉 大煞风景 鼠屎污羹 鼠屎汙羹 杀风景
惟妙惟肖 论议风生 唯妙唯肖 运用自如 论辩风生
民生国计 国计民生 民富国强 益国利民 富国裕民
混混泇泇 操之过切 没轻没重 一手独拍，虽疾无声 操之过激
辞不获命 枉费唇舌 横恩滥赏 杳无信息 久悬不决
弄虚作假 瞒上欺下 耍花腔 矫情饰诈 造言生事
麦丘之祝 犯言直谏 直言正论 不讳之路 直言正谏
酒肉朋友 狐朋狗党 狐朋狗友 猪朋狗友 公子哥儿
爱日惜力 不吝指教 事不宜迟 秉节持重 来世不可待
邀功求赏 推贤进善 邀功希宠 养贤纳士 三吐三握
计深虑远 多谋善虑 深惟重虑 用心良苦 才高七步
敌不可纵 深闭固距 不容置喙 以杀止杀 以杀去杀
死不悔改 一口咬定 死不改悔 不茶不饭 日旰忘食
骇目惊心 骇人视听 惊愚骇俗 怵目惊心 触目惊心
恶叉白赖 哗众取宠 恶语伤人 耍花腔 舞文巧诋
寻消问息 东捱西问 探幽索隐 质疑辨惑 问长问短
好好先生 逍遥自在 逍遥自得 超然自逸 岂弟君子
击其不意 突然袭击 潜德隐行 驴年马月 出师无名
顺时而动 砥廉峻隅 时易世变 时移世易 随物应机
观者如市 谋如涌泉 十口相传 广土众民 填街塞巷
游目骋观 无施不可 色色俱全 无所不在 所向克捷
迎来送往 送往迎来 送往劳来 送去迎来 宾饯日月
神飞气扬 奋发踔厉 激昂慷慨 丰神异彩 感慨激昂
软硬兼施 精力充沛 尽力而为 勤学苦练 健步如飞
目酣神醉 山清水秀 名山胜川 悦目赏心 风月无边
横蛮无理 蛮不讲理 蛮横无理 恶语伤人 痛诬丑诋
喜上眉梢 离离矗矗 内峻外和 运用自如 利齿能牙
十年读书 学而时习之 学无止境 学如穿井 学如登山
终始不渝 始终不懈 安然如故 言笑自若 言笑自如
微文深诋 屈打成招 喊冤叫屈 自新之路 明鼓而攻之
诸有此类 诸若此类 诸如此比 托物陈喻 啮雪餐毡
关怀备至 一钱不落虚空地 茫无边际 孜孜不懈 孜孜无怠
永不磨灭 举世无双 举世无敌 无所不及 无往不克
风风雨雨 怪雨盲风 魆风骤雨 马毛猬磔 急风骤雨
百折不屈 百折不摧 陂湖禀量 长风破浪 不挠不屈
此风不可长 理所不容 不容置喙 敌不可假 傲不可长
俯首听命 输心服意 听天由命 奉令承教 洗耳恭听
铮铮佼佼 奇才异能 楚楚不凡 迥然不群 独到之处
人言啧啧 招是搬非 门户之争 骂不绝口 惹事生非
置之脑后 不吝指教 顿足不前 少安无躁 另请高明
苦难深重 痛悔前非 急痛攻心 百般折磨 敌忾同仇
轻言寡信 涩于言论 言高语低 不知高下 油腔滑调
无所不备 无往不克 正直无邪 无施不可 纵横天下
营私作弊 贪脏枉法 哗众取宠 玩忽职守 弄虚作假
浓妆艳抹 杏脸桃腮 鱼沉雁落 披罗戴翠 仙姿玉色
身心交瘁 老迈龙钟 残年余力 卧床不起 枯朽之余
乖唇蜜舌 乖嘴蜜舌 噀玉喷珠 恬言柔舌 利喙赡辞
不管一二 不顾一切 不顾大局 无情少面 横无忌惮
整躬率物 正身率下 以身作则 以人为镜 整旅厉卒
累教不改 悬而未决 断缣寸纸 创业维艰 大败亏轮
妆模作样 做张做势 拿腔作调 铺眉苫眼 铺眉蒙眼
说千说万 话中有话 话里有话 万语千言 多才多艺
沸沸汤汤 山崩海啸 海沸江翻 骏波虎浪 一片汪洋
人人自危 危机四伏 微机四伏 险象环生 众难群疑
枕稳衾温 不紧不慢 身名俱泰 门不夜关 安心乐业
怜贫恤老 怜贫惜老 惜老怜贫 济苦怜贫 救困扶危
阒然无声 渺无人踪 孤悬浮寄 阒无人声 杳无人烟
拿云捉月 贯斗双龙 楚楚不凡 神乎其技 成风尽垩
讨流溯源 推本溯源 寻源讨本 原始反终 积本求原
民困国贫 地瘠民贫 朝升暮合 牛衣岁月 挨冻受饿
雨覆云翻 反复无常 更弦易辙 龙化虎变 神藏鬼伏
公听并观 三头六面 出谋献策 人言籍籍 博采众议
疑误天下 人心隔肚皮 以疑决疑 变化不测 不知头脑
千金市骨 金台市骏 利欲熏心 拨万轮千 拨万论千
连鳌跨鲸 出世超凡 超世之才 出凡入胜 遗世越俗
雍容大度 风度翩翩 风流蕴藉 博学洽闻 雅量高致
骨肉至亲 养家活口 沾亲带友 至亲骨肉 拉家带口
三街六市 三街两市 软红十丈 软红香土 前街后巷
盗名暗世 盗名欺世 明抢暗偷 同恶相求 瞒天过海
异香扑鼻 热情洋溢 洞幽察微 举世瞩目 四肢百骸
不偏不党 不顾大局 不值一驳 暗室不欺 无关大局
桑间之约 雨约云期 云梦闲情 云期雨信 云期雨约
极往知来 揣时度力 长虑后顾 长虑却顾 识时达变
访亲问友 驿使梅花 驿路梅花 恭敬不如从命 吊民伐罪
玉貌花容 艳如桃李 如花似玉 玉软花柔 玉润冰清
点头咂嘴 令人起敬 知遇之恩 感恩怀德 以誉为赏
言文行远 言之有序 言而无文，行之不远 经验之谈 谈论风生
半文不白 半文半白 一言半辞 一言半句 半新不旧
潜蛟困凤 龙翰凤翼 龙翰凤雏 才夸八斗 东南竹箭
山高水险 爬山涉水 山长水远 七高八低 东踅西倒
弱水之隔 日东月西 地角天涯 海角天涯 相去悬殊
心满意足 屐齿之折 称心如意 三平二满 眼笑眉飞
山长水远 路远迢迢 山遥路远 万里迢迢 爬山涉水
卖公营私 公私兼顾 舍己为公 一己之私 私心杂念
多才多艺 科班出身 有所作为 有风有化 有凭有据
安然如故 锦衣行昼 百折不移 始终不懈 万世流芳
搓手顿脚 风雷火炮 搓手顿足 油浇火燎 腹热心煎
十亲九眷 沾亲带友 九故十亲 五亲六眷 三朋四友
诡谲怪诞 领异标新 稀奇古怪 邈若河汉 恢恑憰怪
折胶堕指 寒风侵肌 岁暮天寒 十冬腊月 天寒地冻
更令明号 尊主泽民 祲威盛容 香草美人 美人香草
众口一辞 一心同归 心口相应 众口一词 所见略同
额首称庆 以手加额 额手称颂 额手相庆 满腔热枕
妙想天开 邈若河汉 楚楚不凡 龙鬼蛇神 恢恑憰怪
大有见地 饶有风趣 令人起敬 大开方便之门 深得人心
好语如珠 好语似珠 博学多才 丰富多彩 犀角烛怪
焚香扫地 枕山栖谷 鸡犬桑麻 鸥波萍迹 东山高卧
披星戴月 戴月披星 众星捧月 不赏之功 一表堂堂
造言生事 造谣惑众 造言捏词 耍花腔 砌词捏控
因循苟且 假惺惺 打马虎眼 拾陈蹈故 闪烁其词
梗迹萍踪 载沉载浮 鱼贯而出 漂零蓬断 沙鸥翔集
不及之法 能不称官 半半拉拉 不屑教诲 不切实际
同心敌忾 国仇家恨 同恶相求 病国殃民 嫉贪如雠
金声掷地 掷地赋声 击玉敲金 铿金戛玉 铿金霏玉
枉直随形 物极则反 形枉影曲 枝附影从 逐影随波
分情破爱 恋新忘旧 革旧图新 乐新厌旧 遁名改作
欺三瞒四 把持不定 披毛求疵 推三阻四 无事生非
朱弦三叹 蕤宾铁响 惊起梁尘 余音袅袅 凤吟鸾吹
顿学累功 有志者事竟成 有进无退 人心齐，泰山移 皇天不负有心人
轻薄无礼 轻薄无行 飘风过耳 顾头不顾尾 一笔抹杀
运用自如 运掉自如 一清二楚 词严义密 洞察一切
暗弱无断 无知妄作 瘠义肥辞 玩忽职守 诞谩不经
低眉垂眼 束肩敛息 柔声下气 服低做小 伏低做小
敕始毖终 甄心动惧 永矢弗谖 始终不懈 见惯不惊
欺人自欺 自欺欺人 塞耳偷铃 自诒伊戚 损己利人
凤协鸾和 瑟弄琴调 瑟调琴弄 琴瑟之好 宜家宜室
都中纸贵 不废江河 流脍人口 才夸八斗 深得人心
动如脱兔 陵劲淬砺 燕跃鹄踊 巧言利口 连三跨五
带水拖泥 横拖倒扯 窍傅会 众口如一 生拖死拽
躬自菲薄 缩衣啬食 缩衣节口 贫不学俭 熬肠刮肚
自食其恶果 自食其果 自新之路 自坏长城 据为己有
方寸已乱 心事重重 触目经心 忧谗畏讥 耽惊受怕
闳宇崇楼 朱楼碧瓦 雾锁烟迷 壮气凌云 耸入云霄
策无遗算 雄才大略 智勇兼全 多谋善断 宏才大略
和蔼近人 和蔼可亲 款款而谈 闻融敦厚 好声好气
敬终慎始 敏于事，慎于言 心小志大 随方就圆 正色直言
蛮不讲理 蛮横无理 横蛮无理 出言无状 玩忽职守
痛痒相关 如鱼似水 义气相投 河同水密 表里相依
见貌辨色 以貌取人 观貌察色 鉴毛辨色 梳妆打扮
重望高名 不废江河 余韵流风 旁搜远绍 身显名扬
逐近弃远 舍近务远 舍近即远 逐末舍本 逐末弃本
骑驴索句 带减腰围 涕泪交集 涕泪交加 牵肠萦心
有识之士 远见卓识 通才硕学 钜学鸿生 畸流洽客
袅袅亭亭 娉婷袅娜 妍姿艳质 柳腰花态 娉婷婀娜
令人起敬 识才尊贤 敬贤爱士 阳春有脚 道高德重
就正有道 求亲靠友 推贤进善 将伯之呼 扶危救困
开眉展眼 欣然自得 满脸春风 心满意得 满脸春色
功到自然成 熟能生巧 砥廉峻隅 运用自如 习惯成自然
能不称官 言而不信 不屑教诲 不露形色 坏法乱纪
四海他人 一无所求 手无寸刃 无头无尾 羌无故实
咬定牙根 吞声忍泪 不挠不屈 斗霜傲雪 百忍成金
赏一劝众 赏一劝百 登高一呼 才夸八斗 以誉为赏
见智见仁 见仁见智 说短论长 说长道短 论长说短
乐道好古 以古制今 通古达变 典章文物 贯穿今古
假手于人 矫情饰诈 装腔作势 装腔作态 虚情假意
用天因地 顺时而动 适时应务 应天承运 与时推移
超然自逸 超凡出世 餐云卧石 斋心涤虑 遗形藏志
戎马生涯 骁勇善战 汗马之功 以战养战 以战去战
无可如何 无如之何 一无所能 一无可取 无可奉告
按行自抑 严于律已 严于律己 改过自新 不由自主
赌咒发誓 励志竭精 铜心铁胆 九牛拉不转 不可动摇
千古不磨 丹心如故 百世流芬 雷奔云谲 蛇化为龙，不变其文
青紫被体 掇青拾紫 拖青纡紫 纡朱曳紫 拖金委紫
广庭大众 众人广坐 大庭广众 东谈西说 大廷广众
明人不做暗事 不自满假 来世不可待 舍生忘死 不落俗套
兴利除害 攻疾防患 杜弊清源 明教不变 以绝后患
后继有人 承先启后 开来继往 世济其美 良弓无改
不可端倪 满腹疑团 疑团满腹 诡秘莫测 探赜索隐
风清月朗 朗月清风 月朗风清 风清月皎 风清月明
春和景明 风和日暖 日暖风和 日暖风恬 日和风暖
独得之见 标新竖异 标新创异 标新竞异 别创一格
江洋大盗 揭箧担囊 犬吠之警 拿贼拿赃 拿贼见赃
万念俱寂 大失所望 智穷才尽 力殚财竭 鸿断鱼沉
不顾大局 旁枝末节 无关大局 教无常师 多管闲事
正色敢言 正色厉声 词严义密 正色直言 能言快语
乱七八糟 无了根蒂 朝梁暮陈 朝梁暮晋 朝梁暮周
视为知己 一见如旧 义结金兰 义气相投 一面如旧
飘风苦雨 雨僝云僽 马毛猬磔 倦尾赤色 生民涂炭
大权在握 重望高名 身显名扬 权重望崇 人多势众
穷大失居 不吝指教 去甚去泰 事不过三 车载船装
两脚野狐 神机鬼械 猪卑狗险 一蛇两头 油头滑脸
残暴不仁 不顾一切 于事无补 丧天害理 横无忌惮
不阴不阳 水里纳瓜 吃不了兜着走 七拱八翘 冬箑夏裘
搬斤播两 另眼看待 独得之见 元经秘旨 括目相待
鼻端生火 驽箭离弦 驱霆策电 蹑影追风 追风蹑景
谆谆善诱 耳听心受 谆谆告戒 谆谆不倦 倾耳而听
不费吹灰之力 击电奔星 省烦从简 干净利索 干脆利落
知地知天 肤寸而合 气象万千 雨僝云僽 占风望气
默默无言 不言不语 闭口不言 寂若无人 话里藏阄
多文为富 广结良缘 增收节支 多才多艺 将勤补拙
风语不透 铁板一块 盛水不漏 铁狱铜笼 水楔不通
贪求无厌 贪求无已 贪得无厌 利欲熏心 急公近利
深仁厚泽 好心好意 情深一往 情深义重 款款深深
畅通无阻 畅行无阻 无施不可 无所不备 所向克捷
昏迷不醒 昏头转向 神情恍惚 头晕眼花 头晕目眩
各执己见 抱柱之信 坚守不渝 倒持戈矛 始终不懈
横从穿贯 神会心融 贯通融会 囊括四海 合二为一
坏人心术 销神流志 消极怠工 心灰意冷 萎糜不振
金声玉色 铜心铁胆 钢浇铁铸 咬定牙根 颂德歌功
眩目惊心 张眉张眼 惊惶失色 惊慌失色 惊心骇神
游戏笔墨 拆白道字 游戏翰墨 调墨弄笔 游戏人间
遁天之刑 违法乱纪 逋慢之罪 遁天妄行 绳之以法
量入为出 计功行赏 量入计出 照功行赏 量能授官
涎皮赖脸 不近道理 恶语伤人 弄虚作假 痛诬丑诋
三星在户 五子登科 荣谐伉俪 百年好事 情投意忺
百虑攒心 哀思如潮 满腔热枕 感慨激昂 抚今悼昔
驽箭离弦 如应斯响 计不旋跬 一日万里 性急口快
一笔勾断 一笔勾消 一而光 赶尽杀绝 一笔勾销
苦不可言 捶胸跌足 捶胸顿脚 捶胸跌脚 心灰意冷
目不暇接 迷离扑朔 三头两绪 穷大失居 七事八事
损人利己 损己利人 恶语伤人 欺世盗名 倚势凌人
单孑独立 一力承当 独当一面 孑然一身 形影自守
公听并观 厌闻饫听 虚己受人 言听事行 言从计纳
险象环生 微机四伏 危机四伏 履险蹈危 置之死地
满腔热枕 热情洋溢 感人肺腑 来势汹汹 情深意重
行不由径 道而不径 曲径通幽 改邪归正 纯正无邪
事往日迁 时移世异 事过景迁 雨收云散 云消雨散
败德辱行 瞒心昧己 蔑伦悖理 舞文巧诋 欺世盗名
利齿能牙 嘴清舌白 抵掌而谈 心巧嘴乖 能言快语
明知故问 言行一致 妆模作样 本相毕露 惟利是视
深得人心 令人起敬 好问则裕 推崇备至 满腔热枕
鲁卫之政 一模二样 行合趋同 众口如一 众口一辞
久历风尘 饱经忧患 万苦千辛 千辛万苦 历日旷久
面目一新 人尽其才 色色俱全 无施不可 铸新淘旧
博学多才 远见卓识 逸群之才 繁征博引 丰富多彩
不露形色 避毁就誉 能不称官 离世遁上 避瓜防李
云愁海思 云悲海思 雷奔云谲 判若云泥 尤花殢雪
珠璧联辉 珠璧交辉 众口交赞 交相辉映 丰神异彩
奔走之友 生死之交 一心同功 齐心协力 齐心合力
福如东海 福寿绵绵 寿山福 白鱼赤乌 心怡神旷
百卉千葩 万贯家财 物殷俗阜 膏腴之地 富埒陶白
朱陈之好 烟花风月 啮臂之好 握雨携云 鸾颠凤倒
坐上琴心 输肝剖胆 倾肝沥胆 蜂迷蝶猜 烈火干柴
不紧不慢 磊落不羁 磊瑰不羁 衾影无惭 堂皇正大
清浑皁白 庐山真面目 起根发由 饮水知源 陶熔鼓铸
今昔之感 忆苦思甜 酌古准今 不乏先例 引古喻今
千变万状 众多非一 名目繁多 千汇万状 成千上万
不避艰险 无所畏惮 不偏不党 不爽毫发 世上无难事
独到之处 领异标新 别具只眼 别出新裁 别出新意
丰功伟绩 较德焯勤 丰功茂德 大开方便之门 重望高名
坏法乱纪 败德辱行 恶语伤人 败法乱纪 文过其实
摩肩擦踵 屯街塞巷 挨肩并足 挨肩迭背 挨肩叠背
零丁孤苦 挨冻受饿 孤立寡与 一无所获 鱼生空釜
捐弃前嫌 弃易求难 置之脑后 革旧图新 杜门自守
如饥如渴 烧眉之急 寤寐求之 巴巴劫劫 云霓之望
心慌撩乱 忑忑忐忐 倾摇懈弛 忐忑不安 心神不定
玩忽职守 无知妄作 言高语低 傲慢少礼 傲慢无礼
