情投意忺 情投谊合 协心戮力 协心同力 道合志同
百发百中 料敌制胜 百中百发 一语破的 眼明手快
乐不可极 正声雅音 朱弦三叹 乐而不厌 乐而不淫
厌难折冲 转败为胜 反败为胜 折冲厌难 不避艰险
釜中生鱼 饥饱劳役 轹釜待炊 析骸以爨 三饥两饱
侈人观听 生动活泼 所见所闻 目击耳闻 目见耳闻
成算在心 有约在先 胸有成略 思患预防 端倪可察
白齿青眉 锦瑟年华 锦瑟华年 朱颜绿发 绮纨之岁
千载难逢 千载难遇 千载一逢 千载一遇 万世一时
各取所长 识才尊贤 多艺多才 多能多艺 多材多艺
析律舞文 舞文玩法 深文周内 舞弄文墨 析律贰端
乐以忘忧 适性忘虑 喜溢眉梢 吐气扬眉 神怿气愉
铺天盖地 盛况空前 一拥而上 风驰云卷 一日千丈
吸新吐故 纳新吐故 吐故纳新 沁人肺腑 斋心涤虑
计穷力诎 力屈计穷 励志竭精 销神流志 计穷力极
唯命是从 唯命是听 束手听命 奉公如法 身不由己
悱恻缠绵 情凄意切 黯然伤神 郁郁不乐 急痛攻心
深文傅会 深文曲折 故入人罪 深文周内 作奸犯罪
指日而待 红日三竿 计日可待 东方将白 指日可待
浆水不交 摆袖却金 臣心如水 脂膏不润 饮马投钱
赏功罚罪 赏高罚下 赏劳罚罪 果刑信赏 论功行封
枝布叶分 枝流叶布 枝分叶散 连州跨郡 代代相传
析疑匡谬 救偏补弊 知过能改 革邪反正 匡谬正俗
病国殃民 丧师辱国 民困国贫 辱国丧师 误国殃民
一鞭先著 以身作则 着人先鞭 轨物范世 决命争首
继绝存亡 兴微继绝 存亡续绝 存亡继绝 兴灭继绝
能言快语 出言有章 言之有序 谈论风生 利齿能牙
不言不语 悄然无声 默默无言 沉密寡言 寂若无人
扫穴擒渠 擒奸擿伏 刬恶锄奸 剗恶锄奸 拿贼拿赃
啼天哭地 哀天叫地 触地号天 踣地呼天 呼天唤地
德容言功 德言工容 三从四德 德言工貌 正己守道
云屯星聚 云屯雨集 压肩叠背 交颈并头 蜂屯蚁聚
放屁添风 鼓舞人心 奋武扬威 神飞气扬 激昂慷慨
樵村渔浦 芝兰之室 三家村 风花雪夜 鸥水相依
殃及池鱼 毋望之祸 毋望之福 无妄之祸 无须之祸
长篇累牍 量金买赋 长篇大套 久而久之 历日旷久
以一警百 罚一劝百 以一儆百 杀一儆百 惩一戒百
走投没路 入地无门 上天无路，入地无门 走头无路 道尽涂穷
策马飞舆 载驰载驱 载驱载驰 南航北骑 车驰马骤
不速之客 汲汲皇皇 仓卒主人 连二赶三 以礼相待
紫芝眉宇 言芳行洁 冰洁玉清 冰清玉粹 鸿渐之仪
樵苏失爨 粒米束薪 樵苏不爨 喝西北风 鱼釜尘甑
半信半疑 半疑半信 将信将疑 确凿不移 难以置信
显祖扬宗 显祖扬名 显祖荣宗 腾声飞实 游光扬声
仰人眉睫 承颜候色 见貌辨色 多管闲事 暗室不欺
敕始毖终 思患预防 慎始敬终 始终不懈 临危致命
回山倒海 风行草靡 无坚不摧 战无不胜 靡坚不摧
棋布星罗 棋布星陈 星罗云布 旗布星峙 星罗棋布
久历风尘 饱经忧患 万苦千辛 千辛万苦 艰难曲折
击毂摩肩 千乘万骑 马咽车阗 车马骈阗 光车骏马
穷源溯流 溯流穷源 本末源流 溯流追源 溯源穷流
秽言污语 躁言丑句 恶言詈辞 瓮声瓮气 出口伤人
顽固不化 怙过不悛 遂迷不寤 怙顽不悛 固执成见
当机立断 以权达变 事不宜迟 爱日惜力 因事制宜
乐极则忧 乐极则悲 乐极生哀 乐极哀来 乐极悲来
娟好静秀 神清骨秀 眉目如画 仙姿玉质 神清气茂
匀脂抹粉 剩馥残膏 粉白黛绿 抹粉施脂 调脂弄粉
大势所趋 天从人原 登高自卑 进退有常 因利乘便
秘而不言 隐迹埋名 潜形匿迹 匿迹隐形 潜形匿影
革邪反正 过而能改 救偏补弊 匡救弥缝 匡谬正俗
狼猛蜂毒 雕心雁爪 笑面夜叉 狗行狼心 心狠手毒
斗而铸锥 临难铸兵 斗而铸兵 倒置干戈 以战去战
讷口少言 木讷寡言 沉密寡言 沉静寡言 有嘴没舌
整旅厉卒 明耻教战 揆文奋武 练兵秣马 投石超距
杳不可闻 了然无闻 视之不见，听之不闻 听而不闻 视而不见，听而不闻
兼善天下 公私两济 裕民足国 成人之善 安富恤贫
固执己见 坚执不从 固执成见 孤行己见 孤行己意
哑口无声 有声无气 有嘴没舌 气断声吞 哑子做梦
神采飞扬 气宇轩昂 器宇轩昂 精神焕发 踔厉奋发
禁舍开塞 不容置喙 以杀止杀 以杀去杀 禁止令行
神情自若 安然如故 坦然自若 原封未动 优游自若
潜移默运 唯所欲为 信步而行 听其自然 横行直撞
擿奸发伏 发隐擿伏 擿伏发奸 破奸发伏 出丑扬疾
回肠寸断 呕心抽肠 叩心泣血 痛贯心膂 痛心伤臆
手到拈来 热熬翻饼 不费吹灰之力 排山压卵 事捷功倍
顺水人情 择善而行 恩恩相报 施而不费 惠而不费
相敬如宾 相待如宾 相庄如宾 和睦相处 白首相庄
求名夺利 逐名趋势 邀名射利 射利沽名 贪名逐利
寒腹短识 庸耳俗目 寡见鲜闻 束教管闻 不学无识
陈辞滥调 陈词滥调 陈言肤词 拾陈蹈故 陈谷子烂芝麻
云行雨施 云行雨洽 急公好施 首尾共济 仁浆义粟
引以为憾 懊悔无及 悔之晚矣 坐失良机 后悔无及
庸医杀人 草芥人命 不治之症 追魂摄魄 不按君臣
齿牙之猾 齿牙为猾 祸从口生 恶语相加 耻言人过
摘瓜抱蔓 扫地无余 扫地无遗 一扫而空 一而光
字顺文从 语简意赅 简截了当 言简义丰 言简意深
嘉言善状 嘉言善行 言行相副 嘉言懿行 好言好语
急处从宽 无所畏忌 临危不顾 不避艰险 无所畏惮
韶颜稚齿 绿鬓朱颜 桃夭柳媚 碧鬟红袖 一表人才
极恶不赦 十恶不赦 法无可贷 罪责难逃 罪不可逭
山陬海噬 杳无人烟 遐州僻壤 偏乡僻壤 地角天涯
超群拔类 逸群之才 超世之才 赫赫巍巍 重望高名
饿虎扑食 饿虎扑羊 饿虎擒羊 饿虎吞羊 虎视耽耽
天下第一 独步当时 独步一时 超前绝后 独步当世
摧身碎首 粉骨糜躯 殒身碎首 糜躯碎首 齑身粉骨
昏昏沉沉 如醉如梦 精神恍惚 眼花心乱 梦想颠倒
搜肠刮肚 衡虑困心 煞费心机 殚精竭虑 殚思极虑
文丝不动 五积六受 寂然不动 顿足不前 断线偶戏
瑶草奇花 百花争艳 异木奇花 瑶草琪葩 地上天宫
心急火燎 心焦火燎 心如火焚 心急如火 心急如焚
讳树数马 小廉大法 大法小廉 冷面寒铁 鞠躬君子
惊世骇目 惊世绝俗 惊心眩目 天下独步 独步天下
齐心并力 戮力同心 同力协契 协力齐心 一心一力
一箭之地 一箭之遥 盈盈一水 相去几何 近在咫尺
急张拘诸 慌慌张张 搓手顿足 热锅上的蚂蚁 失张失志
贵贱无常 首足异处 身首异地 首身分离 身在曹营心在汉
冰山难靠 倚官仗势 倚官挟势 强龙不压地头蛇 晦盲否塞
和气生财 心慈面软 闻融敦厚 和蔼近人 和蔼可亲
以礼相待 求贤下士 醉酒饱德 来迎去送 惠然之顾
自欺欺人 欺人自欺 损人害己 塞耳偷铃 撒诈捣虚
力有未逮 鞭长不及 一手托天 压雪求油 不胜其任
唾壶击缺 冲冠怒发 冲冠发怒 赫然而怒 直眉怒目
惶恐不安 惶惶不安 忑忑忐忐 心惊胆寒 心惊胆颤
渺无人烟 虚无飘渺 茫无边际 恒河一沙 出有入无
积日累久 天荒地老 地老天荒 久而久之 多历年稔
怒气冲冲 雷嗔电怒 愤愤不平 吹胡子瞪眼 无名火气
金镶玉裹 地上天官 三平二满 齐天洪福 肥甘轻暖
大发议论 倾肠倒肚 张口掉舌 字里行间 各抒己见
家传户诵 家传人诵 家见户说 闭户读书 世代书香
丝来线去 龙蟠虬结 死乞白赖 牵丝攀藤 死求白赖
感恩怀德 助人为乐 人逢喜事精神爽 一谦四益 心满意得
艰苦奋斗 不避艰险 确乎不拔 愤不顾身 斗霜傲雪
无可名状 含糊不明 不知头脑 一无可取 摸不着头脑
边尘不惊 刀枪入库 沉烽静柝 万籁无声 万赖无声
以管窥豹 管中窥豹 一斑窥豹 窥豹一斑 识二五而不知十
各执己见 坚执不从 各持己见 无所可否 据理力争
兰心蕙性 含霜履雪 鸿轩凤翥 冰清玉粹 冰洁玉清
贻误军机 坐失良机 大败亏输 计绌方匮 旷日持久
慎小事微 慎小谨微 敬终慎始 慎始敬终 不遗巨细
事不关己 多管闲事 无关大局 满不在意 漠不相关
半吞半吐 半吐半露 尖嘴薄舌 口轻舌薄 油腔滑调
瞠目而视 鱼瞵鹗睨 虎视耽耽 鱼龙百变 目光炯炯
欢迸乱跳 欢忻鼓舞 慷慨激昂 活蹦乱跳 载欢载笑
宵旰图治 一日万几 以天下为己任 夙夜在公 治国安邦
三平二满 肥甘轻暖 枕稳衾温 暖衣饱食 裘马清狂
殷天蔽日 蔽日遮天 隐天蔽日 干霄蔽日 烟炎张天
依法砲制 依法炮制 因袭陈规 蹈常习故 如法砲制
饿虎扑羊 饿虎扑食 饿虎擒羊 狼吞虎咽 狼餐虎咽
改换门闾 改换家门 改换门楣 鸱张门户 耀祖荣宗
凤箫龙管 凤箫鸾管 鸾歌凤吹 吹竹弹丝 弄竹弹丝
心向往之 心乡往之 一往情深 魂飞目断 想望丰采
闪烁其词 言颠语倒 半吞半吐 半吐半露 顿口无言
如此而已 聊复尔尔 理之当然 无庸赘述 一时之权
避凶趋吉 攻疾防患 和睦相处 违强陵弱 多一事不如少一事
宁死不辱 宁死不屈 士可杀不可辱 宁可清贫，不作浊富 忍尤含垢
采薪之患 采薪之疾 采薪之忧 卧床不起 犬马之疾
无一不知 腹饱万言 学识渊博 学究天人 智周万物
事无二成 先公后私 公事公办 明辨是非 清水无大鱼
论长说短 论长道短 说长道短 说短论长 淫言诐行
豹头环眼 整整截截 正容亢色 威风八面 岸然道貌
樽酒论文 好酒贪杯 使酒骂座 酒后失言 借酒浇愁
才夸八斗 囊里盛锥 抽秘骋妍 识才尊贤 鸿渐之仪
商彝夏鼎 商彝周鼎 夏鼎商彝 雕盘绮食 奇珍异宝
摧兰折玉 破璧毁珪 大煞风景 煮鹤烧琴 大煞风趣
惟妙惟肖 惟肖惟妙 唯妙唯肖 绘影绘声 绘声绘影
民生国计 国计民生 国富民丰 国富民安 民富国强
冲风破浪 急流勇进 波涛汹涌 急风骤雨 骏波虎浪
辞不获命 碰钉子 不揪不采 不揪不採 不揪不睬
以伪乱真 造言生事 恫疑虚喝 乘隙捣虚 矫情饰诈
正言直谏 讳树数马 麦丘之祝 折冲之臣 狗吠非主
酒肉朋友 面朋口友 狐朋狗党 狐朋狗友 狗党狐朋
爱日惜力 敬时爱日 事不宜迟 三余读书 量才而为
邀功希宠 求贤下士 推贤进善 就正有道 邀功求赏
抓乖弄俏 抓乖卖俏 假痴假呆 使心用腹 装疯卖傻
深闭固距 东拦西阻 杜隙防微 闭门自守 以攻为守
不知寝食 发愤忘食 日旰忘食 悬梁刺股 悬梁刺骨
惊耳骇目 骇目惊心 惊心骇神 骇人闻听 骇人视听
狂三诈四 瞒心昧己 瞒神弄鬼 损己利人 趁人之危
寻消问息 质疑辨惑 有问必答 东捱西问 问长问短
好好先生 处堂燕鹊 不求有功，但求无过 无妄之福 买静求安
击其不意 突然袭击 出敌意外 出敌不意 攻其无备
时移世易 时易世变 与时推移 与世推移 以权达变
观者如市 观者如云 观者云集 观者成堵 观者如垛
游目骋观 悦目赏心 风月无边 触目皆是 山清水秀
送往迎来 迎来送往 送往劳来 送去迎来 宾饯日月
神飞气扬 奋发踔厉 激昂慷慨 丰神异彩 慷慨激烈
拈轻掇重 量才而为 量力而行 量力而为 软硬兼施
目酣神醉 山清水秀 爽心悦目 悦目赏心 水明山秀
恶语相加 条三窝四 蛮横无理 蛮不讲理 横蛮无理
戴眉含齿 戴发含牙 安眉带眼 浓眉大眼 齿危发秀
学无止境 十年读书 孙康映雪 成人不自在，自在不成人 刺股读书
恬言柔舌 神情自若 假惺惺 糖舌蜜口 原封未动
喊冤叫屈 屈打成招 陨雹飞霜 自新之路 含冤负屈
啮雪餐毡 如蹈水火 狼艰狈蹶 艰难困苦 若涉渊水
春风雨露 清微淡远 一毫不染 朴实无华 涓滴之劳
永不磨灭 罪不可逭 长生不死 百世不磨 千古不磨
怪雨盲风 风潇雨晦 魆风骤雨 疾雨暴风 狂风暴雨
百折不屈 百折不摧 铁面枪牙 山包海容 铮铮铁骨
敌不可假 势不两存 敌不可纵 不容置喙 四面受敌
洗耳恭听 垂耳下首 洗耳拱听 降心俯首 厌闻饫听
领异标新 别出新意 别出新裁 异乎寻常 独到之处
人言啧啧 门户之争 众口纷纭 众说纷纭 议论纷纭
少安无躁 顿足不前 停滞不前 移缓就急 无所容心
心如刀绞 心如刀割 急痛攻心 悱恻缠绵 深思苦索
有气无力 轻言轻语 轻言细语 涩于言论 怯声怯气
仁同一视 比量齐观 视同一律 贵贱无二 行同能偶
营私作弊 瞒心昧己 瞒神弄鬼 通同作弊 欺世盗名
浓妆艳抹 浓妆艳饰 浓装艳抹 浓妆艳裹 粉白黛绿
老迈龙钟 老天拔地 残年余力 七老八倒 枯朽之余
乖唇蜜舌 乖嘴蜜舌 噀玉喷珠 巧言如簧 辩口利舌
横无忌惮 不管一二 玩兵黩武 误打误撞 脱口而出
整躬率物 正身率下 以身作则 逊志时敏 砥节奉公
断缣寸纸 断缣尺楮 继绝存亡 断管残沈 断管残渖
妆模作样 做张做势 捉班做势 拿糖作醋 拿腔做势
话里藏阄 言外之味 万语千言 话里有话 话中有话
沸沸汤汤 波涛汹涌 骏波虎浪 风起水涌 汹涌澎湃
人人自危 众所共知 人心皇皇 臭名昭著 众所周知
枕稳衾温 太平无事 清闲自在 安心乐业 安闲自在
怜贫恤老 惜老怜贫 怜贫惜老 恤老怜贫 济苦怜贫
杳无人烟 山陬海噬 偏乡僻壤 与世隔绝 鸡犬不闻
拿云捉月 贯斗双龙 圭璋特达 才高八斗 八斗之才
原始反终 讨流溯源 积本求原 原始要终 枝源派本
朝升暮合 有气无烟 贫困潦倒 民困国贫 鱼生空釜
雨覆云翻 三翻四复 翻复无常 千变万轸 龙化虎变
博采众议 三头六面 各抒己见 各抒所见 大发议论
疑团莫释 不知头脑 疑误天下 众难群疑 众难群移
千金市骨 利欲熏心 瞒天要价 所费不赀 贪心不足
连鳌跨鲸 骑龙弄凤 离世异俗 遗世越俗 出世超凡
雍容大度 舂容大雅 儒雅风流 雅量高致 雅人韵士
至亲骨肉 骨肉至亲 至亲好友 亲如骨肉 情同骨肉
三街六市 三街两市 大街小巷 四面八方 前街后巷
欺世盗名 盗名暗世 明抢暗偷 射利沽名 盗名欺世
异香扑鼻 沁人肺腑 满腔热枕 神完气足 感人肺腑
人不犯我，我不犯人 毫毛不犯 不偏不党 无机可乘 无间可乘
桑间之约 雨约云期 迎风待月 莺期燕约 暮雨朝云
识时达变 识时达务 权时制宜 审几度势 极往知来
访亲问友 山阴乘兴 驿使梅花 驿路梅花 对床夜雨
如花似玉 玉貌花容 如花似月 如花似朵 艳如桃李
感恩怀德 知遇之恩 恩有重报 千恩万谢 点头咂嘴
简要不烦 言简意深 言约旨远 言简义丰 字顺文从
半文不白 半文半白 之乎者也 命词遣意 命辞遣意
才夸八斗 龙翰凤雏 龙翰凤翼 逸群之才 潜蛟困凤
山高水险 山长水远 荆棘塞途 荆棘载途 风霜雨雪
弱水之隔 地角天涯 海角天涯 咫尺千里 天涯地角
心满意足 沾沾自喜 志骄意满 扬扬得意 得意扬扬
山长水远 山遥路远 路远迢迢 爬山涉水 万里迢迢
舍己为公 卖公营私 公私两济 营私罔利 忧公忘私
科班出身 能写会算 多才多艺 作育人材 沿才受职
锦衣行昼 还乡昼锦 钟鼎之家 长命富贵 膏腴子弟
迫不可待 搓手顿脚 风雷火炮 巴巴劫劫 如饥如渴
沾亲带友 十亲九故 十亲九眷 四姻九戚 九故十亲
希奇古怪 邈若河汉 领异标新 奇离古怪 异乎寻常
折胶堕指 寒风侵肌 天寒地冻 冰雪严寒 冰天雪窖
更令明号 矢忠不二 以身殉国 以德服人 指日誓心
众口一辞 众口如一 所见略同 众所共知 众口同声
额首称庆 千恩万谢 以手加额 额手称庆 额手称颂
妙想天开 邈若河汉 恢恑憰怪 诡谲怪诞 龙鬼蛇神
惊心眩目 骇目惊心 游心骇耳 春宵一刻 鲜艳夺目
好语如珠 好语似珠 神施鬼设 犀角烛怪 言有尽而意无穷
焚香扫地 高卧东山 东山高卧 鸥波萍迹 高翔远引
披星戴月 戴月披星 披星带月 贯斗双龙 一表非俗
造谣惑众 造言捏词 讹以传讹 欺世盗名 造谣生事
因循苟且 原封未动 玩故习常 虚应故事 踏故习常
梗迹萍踪 载沉载浮 出没无常 秤锤落井 鸟迹虫丝
化整为零 零敲碎打 一刀切 零打碎敲 合而为一
国仇家恨 同心敌忾 国难当头 兵拏祸结 病国殃民
金声掷地 掷地赋声 击玉敲金 铿金戛玉 铿金霏玉
枉直随形 风言影语 望空捉影 有鼻子有眼 对景挂画
分情破爱 恋新忘旧 弃旧迎新 革旧图新 喜新厌旧
推三阻四 指李推张 欺三瞒四 推三推四 无事生非
蕤宾铁响 才夸八斗 朱弦三叹 成风尽垩 郢中白雪
有志者事竟成 顿学累功 有志竟成 皇天不负有心人 铁杵成针
心浮气躁 吊尔郎当 心浮气盛 吊儿郎当 粗心浮气
运掉自如 运用自如 曲尽奇妙 滚瓜流水 巧言利口
暗弱无断 畏影恶迹 騣童钝夫 混混噩噩 犹豫不决
束肩敛息 柔声下气 屏声息气 轻身下气 低声下气
慎始敬终 敬终慎始 敕始毖终 甄心动惧 慎小谨微
欺人自欺 自欺欺人 塞耳偷铃 瞒心昧己 损己利人
凤协鸾和 琴瑟之好 瑟弄琴调 瑟调琴弄 鱼水相投
不废江河 都中纸贵 流脍人口 齿颊挂人 传为佳话
燕跃鹄踊 陵劲淬砺 动如脱兔 眼疾手快 眼急手快
生拉硬扯 黏皮着骨 黏皮带骨 带水拖泥 肤皮潦草
躬自菲薄 缩衣啬食 缩衣节口 少吃俭用 缩衣节食
自坏长城 自暴自弃 自甘暴弃 自弃自暴 改换头面
变名易姓 改名换姓 更名改姓 改口沓舌 改操易节
高堂大厦 闳宇崇楼 高楼大厦 朱楼碧瓦 耸入云霄
万全之计 深谋远虑 深谋远略 远虑深谋 沉谋研虑
和蔼可亲 和蔼近人 平易近民 平易近人 心慈面软
胆大心粗 勇猛果敢 胆大心细 胆大心小 敬终慎始
不近道理 蛮横无理 横蛮无理 蛮不讲理 傲慢少礼
打得火热 蜜里调油 唇不离腮 痛痒相关 河同水密
以貌取人 见貌辨色 鉴毛辨色 鉴影度形 人不可貌相
承先启后 文章宗匠 读书种子 身显名扬 余韵流风
逐近弃远 舍近务远 舍近即远 虚往实归 不自满假
矫情饰行 装疯卖傻 拿腔作调 假惺惺 拿腔做势
有识之士 高才远识 才高识远 宏才大略 雄材大略
袅袅亭亭 柳腰花态 千娇百媚 娉婷袅娜 章台杨柳
鞠躬君子 忠肝义胆 义胆忠肝 敬贤重士 仁人义士
将伯之呼 就正有道 冯生弹铗 冯髈弹铗 求贤下士
喜气洋洋 开眉展眼 冁然而笑 满脸春风 满脸春色
功到自然成 径情直行 大有可为 水到鱼行 有所作为
闭门却轨 闭门扫迹 闭门埽轨 闭门羹 不容置喙
闲杂人等 洪乔捎书 自作解人 强作解人 寂寂无闻
含污忍垢 吞声忍泪 含垢忍辱 忍辱含羞 忍辱含垢
赏一劝百 赏一劝众 大有作为 以誉为赏 游光扬声
说短论长 说长道短 同日而道 同日而言 论长道短
乐道好古 乐道安命 敬天爱民 乐在其中 乐善好义
曲意逢迎 曲意承迎 曲意迎合 曲意奉迎 偷合苟容
用天因地 顺时而动 观机而动 待时而动 相时而动
超凡出世 超然自逸 超然不群 超然自得 恬淡无欲
戎马生涯 骁勇善战 汗马之功 战火纷飞 白旄黄钺
无可如何 无如之何 计无付之 无如之奈 计无由出
按行自抑 严于律已 克己慎行 严于律己 立身行己
确乎不拔 铜心铁胆 九牛拉不转 不拔之志 赌咒发誓
变幻无穷 变炫无穷 百喙一词 千状万态 百啭千声
青紫被体 掇青拾紫 拖青纡紫 纡青佩紫 纡朱曳紫
广庭大众 大廷广众 大庭广众 众人广坐 稠人广座
燕石妄珍 将无作有 捐金抵璧 将无做有 弃瑕忘过
暴敛横征 横征暴赋 横征苛敛 打富济贫 横科暴敛
后继有人 承先启后 开来继往 世济其美 良弓无改
不可端倪 捉摸不定 神妙莫测 昏昏默默 诡秘莫测
风清月朗 朗月清风 浮光跃金 星月交辉 月朗风清
日暖风和 风和日暖 雨丝风片 春风和气 风和日暄
另开生面 花样翻新 出谋献策 别开蹊径 铸新淘旧
江洋大盗 明抢暗偷 谋财害命 犬吠之警 揭箧担囊
一无所获 万念俱寂 了然无闻 诛求无已 停滞不前
不顾大局 无关大局 舍生忘死 不足为虑 无所容心
舌锋如火 唇尖舌利 尖言冷语 危言正色 正色厉声
乱七八糟 拉拉杂杂 乱七八遭 马捉老鼠 七颠八倒
忘年之交 忘年之好 义气相投 忘形交 忘年交
雨僝云僽 飘风苦雨 凄风楚雨 凄风寒雨 天寒地冻
权重望崇 重望高名 大权在握 时望所归 人多势众
不可胜举 无万大千 穷大失居 事不过三 不可胜记
神机鬼械 老奸巨猾 一蛇两头 两脚野狐 插圈弄套
肆行无忌 横无忌惮 任达不拘 放纵不羁 脱天漏网
不阴不阳 人心莫测 人情恟恟 闷葫芦 若有若无
搬斤播两 剖玄析微 铢分毫析 苦思冥想 沉思熟虑
鼻端生火 驱霆策电 蹑影追风 追风蹑景 车驰马骤
谆谆善诱 言提其耳 口耳相传 谆谆告戒 耳听心受
顺风吹火 不费吹灰之力 掌上观纹 掌上观文 一日万里
揆时度势 占风望气 量时度力 知地知天 审时度势
默默无言 闭口不言 杜口无言 缄口无言 钳口吞舌
广结良缘 增收节支 多多益办 一分耕耘，一分收获 多多益善
水楔不通 水泄不透 风语不透 密不通风 风雨不透
贪求无厌 贪猥无厌 贪婪无厌 贪惏无餍 贪求无已
深仁厚泽 好心好意 济人利物 急公好施 救困扶危
无远弗届 无远不届 无所不及 畅行无阻 畅通无阻
昏迷不醒 昏头转向 神情恍惚 头昏眼晕 心慌撩乱
倒持戈矛 倒持干戈 横刀揭斧 邪不干正 悍然不顾
囊括四海 一揽包收 九州四海 普天之下 举国上下
销神流志 坏人心术 心慵意懒 萎糜不振 灰心槁形
颂德歌功 敬贤爱士 讽德诵功 廉顽立懦 尊贤使能
忑忑忐忐 惶恐不安 惶惶不安 胆战心寒 张眉张眼
游戏笔墨 游戏翰墨 拆白道字 调墨弄笔 嬉笑怒骂
遁天之刑 逋慢之罪 违条犯法 遁天妄行 绳之以法
量入为出 量入计出 增收节支 入不敷出 量才录用
涎皮赖脸 东扭西捏 放泼撒豪 百般刁难 贫嘴贱舌
荣谐伉俪 三星在户 五子登科 洞房花烛 情投谊合
百虑攒心 云愁海思 云悲海思 哀思如潮 满腔热枕
驽箭离弦 追云逐电 追风蹑景 蹑影追风 击电奔星
一笔勾断 一笔勾消 一而光 右翦左屠 摘瓜抱蔓
椎天抢地 剖肝泣血 凄入肝脾 呕心抽肠 气断声吞
目不暇接 犀牛望月 三头两绪 迷离扑朔 经纬万端
损己利人 恶语伤人 欺世盗名 造谣中伤 恶语相加
倚天拔地 岳岳磊磊 龙蟠虎伏 龙骧虎踤 雄姿英发
言从计纳 虚己受人 厌闻饫听 公听并观 旁收博采
微机四伏 危机四伏 险象环生 言出祸从 未形之患
满腔热枕 热情洋溢 急痛攻心 满腔热忱 感慨激昂
行不由径 曲径通幽 无偏无颇 转湾抹角 转弯磨角
事往日迁 风吹云散 百代过客 时移世异 日月如流
瞒心昧己 欺世盗名 坑蒙拐骗 文奸济恶 败德辱行
言之有故 有根有底 锱铢不爽 笃论高言 侃侃而言
明知故问 人不犯我，我不犯人 言外之意 不懂装懂 毫不讳言
推崇备至 心虔志诚 感恩戴德 千恩万谢 敬老尊贤
神往神来 鲁卫之政 同心协德 同心一德 同心合德
饱经忧患 久历风尘 千辛万苦 万苦千辛 艰难曲折
百废俱兴 百废具兴 百废具作 百废俱举 百废咸举
博学多才 多见广识 学富才高 多才多艺 通文达艺
与世无争 不随以止 负俗之累 离世遁上 超然不群
殢雨尤云 云愁海思 云悲海思 尤花殢雪 尤云殢雪
众口交赞 称赏不已 赞不绝口 赞口不绝 璧合珠联
奔走之友 惺惺相惜 深情厚谊 深情厚意 淫朋密友
福如东海 寿山福 东洋大海 江南海北 河清海宴
膏腴之地 鱼米之乡 鱼米之地 膏场绣浍 地大物博
啮臂之好 明婚正配 明婚正娶 红绳系足 罗敷有夫
坐上琴心 云尤雨殢 烈火干柴 蜂迷蝶猜 倚玉偎香
衾影无惭 磊磊落落 轻裘缓带 襟怀洒落 欹嵚历落
清浑皁白 庐山真面目 饮水知源 起根发由 鲁卫之政
今昔之感 知往鉴今 观往知来 酌古准今 贯穿今古
多情善感 令人莫测 说来话长 感慨万千 多情多感
不避艰险 急处从宽 临危不顾 无所畏忌 临危致命
独到之处 领异标新 别出新意 别出新裁 稀奇古怪
丰功伟绩 丰功茂德 较德焯勤 伟绩丰功 义重恩深
毁风败俗 辱门败户 伤化败俗 出口伤人 挑拨离间
摩肩擦踵 攘来熙往 熙来攘往 马咽车阗 袂云汗雨
鳏寡孤独 孤独矜寡 孤独鳏寡 孤寡鳏独 零丁孤苦
网开一面 网开三面 去伪存真 去粗取精 去故就新
如饥如渴 巴巴劫劫 迫不可待 烧眉之急 如饥似渴
神情恍惚 倾摇懈弛 忑忑忐忐 忐忑不安 心慌撩乱
敷衍搪塞 玩忽职守 草率将事 无知妄作 道听耳食
食生不化 讷口少言 笨嘴笨舌 水土不服 不习水土
圣神文武 一人有庆 无私之光 神功圣化 飞龙在天
颠来倒去 颠来簸去 终而复始 翻来覆去 覆去翻来
精力充沛 孜孜无倦 神完气足 孜孜不懈 孜孜不怠
恪守不渝 守正不回 确乎不拔 坚守不渝 坚贞不渝
折冲樽俎 来好息师 以计代战 尊俎折冲 以守为攻
八面张罗 出门如宾 言之有序 龙章凤彩 才学兼优
拽巷啰街 拽巷逻街 拽巷攞街 一呼百应 大吆小喝
瓦器蚌盘 恶衣菲食 粗衣恶食 粗袍粝食 省吃俭用
寂天寞地 无能为力 无计可奈 无计所奈 百事无成
救难解危 救困扶危 扶危救困 振穷恤寡 振穷恤贫
相因相生 相生相成 相克相济 相辅而行 相与为一
内查外调 深情底理 睹著知微 睹着知微 明查暗访
画地作狱 画地为狱 画地为牢 画地成牢 心不两用
逸群之才 超世之才 才夸八斗 才华超众 逞异夸能
大功毕成 大工告成 丰功伟绩 大功告成 较德焯勤
百虑攒心 千愁万绪 心事重重 焦思苦虑 焦心热中
悔过自责 计过自讼 反身自问 闭门思过 改行自新
惟肖惟妙 惟妙惟肖 绘影绘声 绘声绘影 跃然纸上
沉静寡言 沉厚寡言 沉重寡言 沉毅寡言 敬终慎始
靠天吃饭 自食其力 优游岁月 枕山襟海 鸥水相依
俎樽折冲 折冲樽俎 尊俎折冲 以计代战 杯酒言欢
寂然无声 默默无言 寂然不动 悄然无声 鸦雀无声
遗风余韵 敦世厉俗 遗风古道 树俗立化 遗风余教
护国佑民 保国安民 保境息民 安国富民 安邦治国
招是搬非 惹事生非 搬唇递舌 惹事招非 论长道短
堂皇冠冕 举止大方 文圆质方 雍容大度 端人正士
过甚其辞 不切实际 言行不符 言不顾行 事与原违
